Player,Year,Games Played,Win Share
Jaden Ivey,2024,151,0.5
Andre Jackson Jr.,2024,57,1.0
GG Jackson II,2024,48,1.2
Isaiah Jackson,2024,158,7.4
Jaren Jackson Jr.,2024,333,22.5
Justin Jackson,2024,280,5.4
Quenton Jackson,2024,12,0.2
Reggie Jackson,2024,853,36.1
Trayce Jackson-Davis,2024,68,4.8
LeBron James,2024,1492,263.8
Jaime Jaquez Jr.,2024,75,4.0
DeJon Jarreau,2024,10,0.0
DaQuan Jeffries,2024,64,0.5
Trey Jemison,2024,25,0.9
Ty Jerome,2024,159,3.9000000000000004
Isaiah Joe,2024,247,8.3
Cameron Johnson,2024,283,17.7
Jalen Johnson,2024,148,5.9
James Johnson,2024,774,27.600000000000005
Keldon Johnson,2024,293,13.6
Keon Johnson,2024,82,-0.9
Keyontae Johnson,2024,9,-0.1
Nikola Jokić,2024,675,111.4
Colby Jones,2024,30,0.0
Damian Jones,2024,279,11.299999999999999
Derrick Jones Jr.,2024,420,18.9
Herbert Jones,2024,220,15.1
Mason Jones,2024,41,0.4
Tre Jones,2024,251,11.600000000000001
Tyus Jones,2024,601,29.5
DeAndre Jordan,2024,1055,97.1
Cory Joseph,2024,816,30.699999999999996
Nikola Jović,2024,61,2.1
Johnny Juzang,2024,38,0.2
Luke Kennard,2024,395,19.700000000000003
Walker Kessler,2024,138,11.2
Braxton Key,2024,34,0.4
Corey Kispert,2024,231,8.2
Maxi Kleber,2024,406,19.7
Kevin Knox,2024,306,0.8
John Konchar,2024,261,12.299999999999999
Furkan Korkmaz,2024,328,7.6
Luke Kornet,2024,280,12.499999999999998
Vit Krejci,2024,81,1.2999999999999998
Jonathan Kuminga,2024,211,10.0
Kyle Kuzma,2024,476,15.3
Jock Landale,2024,179,6.5
Jake LaRavia,2024,70,1.5
Zach LaVine,2024,580,32.3
A.J. Lawson,2024,57,0.30000000000000004
Saben Lee,2024,134,3.5
Alex Len,2024,644,23.299999999999997
Kawhi Leonard,2024,696,99.2
Caris LeVert,2024,460,19.9
Kira Lewis Jr.,2024,131,1.4
Maxwell Lewis,2024,34,-0.4
E.J. Liddell,2024,8,0.0
Damian Lillard,2024,842,110.69999999999999
Nassir Little,2024,237,4.799999999999999
Dereck Lively II,2024,55,4.9
Isaiah Livers,2024,94,1.6
Chris Livingston,2024,21,0.1
Kenneth Lofton Jr.,2024,45,0.8
Kevon Looney,2024,523,33.2
Brook Lopez,2024,1025,85.6
Robin Lopez,2024,992,49.400000000000006
Kevin Love,2024,929,94.60000000000001
Kyle Lowry,2024,1138,111.5
Seth Lundy,2024,9,-0.1
Trey Lyles,2024,581,19.5
Théo Maledon,2024,177,-0.19999999999999996
Sandro Mamukelashvili,2024,130,3.0
Terance Mann,2024,345,18.5
Tre Mann,2024,168,1.8
Boban Marjanović,2024,331,13.299999999999999
Lauri Markkanen,2024,403,31.0
Naji Marshall,2024,230,6.8
Caleb Martin,2024,266,11.1
Cody Martin,2024,206,5.9
KJ Martin,2024,266,11.100000000000001
Garrison Mathews,2024,267,8.3
Bennedict Mathurin,2024,137,3.2
Wesley Matthews,2024,986,55.50000000000001
Tyrese Maxey,2024,266,22.7
Skylar Mays,2024,105,2.2
Miles McBride,2024,172,4.5
CJ McCollum,2024,731,50.400000000000006
T.J. McConnell,2024,627,28.8
Jaden McDaniels,2024,284,11.600000000000001
Jalen McDaniels,2024,248,5.3
Doug McDermott,2024,655,21.200000000000003
JaVale McGee,2024,909,43.8
Bryce McGowens,2024,105,0.7
Jordan McLaughlin,2024,242,8.9
De'Anthony Melton,2024,350,13.899999999999999
Nathan Mensah,2024,25,0.1
Sam Merrill,2024,102,3.5
Chimezie Metu,2024,260,5.699999999999999
Vasilije Micić,2024,60,0.4
Khris Middleton,2024,739,55.900000000000006
Brandon Miller,2024,74,0.8
Jordan Miller,2024,8,0.1
Leonard Miller,2024,17,0.3
Dariq Whitehead,2024,2,0.0
Patty Mills,2024,892,35.9
Shake Milton,2024,302,10.4
Justin Minaya,2024,38,0.0
Josh Minott,2024,47,0.7
Davion Mitchell,2024,227,2.9
Donovan Mitchell,2024,468,44.300000000000004
Evan Mobley,2024,198,19.2
Isaiah Mobley,2024,22,0.2
Malik Monk,2024,458,12.3
Moses Moody,2024,181,5.0
Xavier Moon,2024,28,0.19999999999999998
Taze Moore,2024,4,0.0
Wendell Moore Jr.,2024,54,0.2
Ja Morant,2024,257,20.5
Marcus Morris,2024,832,39.3
Markieff Morris,2024,776,27.3
Monte Morris,2024,375,23.9
Trey Murphy III,2024,198,14.9
Dejounte Murray,2024,472,26.000000000000004
Jamal Murray,2024,469,31.8
Keegan Murray,2024,157,9.5
Kris Murray,2024,62,0.7
Mike Muscala,2024,548,19.3
Svi Mykhailiuk,2024,293,4.300000000000001
Larry Nance Jr.,2024,522,33.4
Pete Nance,2024,8,-0.1
Andrew Nembhard,2024,143,3.2
Aaron Nesmith,2024,243,7.6
Georges Niang,2024,465,13.100000000000001
Daishen Nix,2024,96,-1.4
Zeke Nnaji,2024,194,5.5
Jaylen Nowell,2024,197,5.0
Markquis Nowell,2024,1,0.1
Frank Ntilikina,2024,321,0.4
Jusuf Nurkić,2024,539,31.9
Jordan Nwora,2024,206,3.0
Royce O'Neale,2024,525,27.4
Chuma Okeke,2024,189,4.5
Josh Okogie,2024,376,10.3
Onyeka Okongwu,2024,233,17.7
Isaac Okoro,2024,279,13.500000000000002
Kelly Olynyk,2024,756,44.5
Eugene Omoruyi,2024,87,1.3
Cedi Osman,2024,476,12.6
Kelly Oubre Jr.,2024,595,22.299999999999997
Chris Paul,2024,1272,209.50000000000006
