Player,Year,Games Played,Win Share, relevancy
Kaiser Gates,2024,1,-0.1, 0.0019701359143506486
Keyonte George,2024,75,-0.3, 0.2510932568878653
Paul George,2024,867,88.60000000000001, 4.351093256887865
Taj Gibson,2024,965,60.0, 4.234790465191373
Josh Giddey,2024,210,8.700000000000001, 0.8530528130797049
Harry Giles,2024,165,3.2, 0.6130295489422676
Shai Gilgeous-Alexander,2024,386,43.5, 2.0010843091426973
Anthony Gill,2024,179,3.7, 0.6686308374175718
Collin Gillespie,2024,24,0.4, 0.08825324257147305
Jacob Gilyard,2024,42,1.5, 0.16693971358077872
Rudy Gobert,2024,757,106.0, 4.250109004919361
Jordan Goodwin,2024,121,3.3000000000000003, 0.46460435209187395
Aaron Gordon,2024,669,42.8, 2.9548334143681805
Eric Gordon,2024,886,41.00000000000001, 3.6662596849479945
Devonte' Graham,2024,336,12.700000000000001, 1.3455903936094118
Jerami Grant,2024,672,34.900000000000006, 2.8406512382765556
RaiQuan Gray,2024,4,0.30000000000000004, 0.018496621240048573
A.J. Green,2024,91,1.9000000000000001, 0.3402843807246585
Danny Green,2024,832,49.2, 3.611302634124802
Draymond Green,2024,813,60.900000000000006, 3.7307818753560116
Jalen Green,2024,225,5.6000000000000005, 0.8553702790782732
Javonte Green,2024,195,8.9, 0.8050660557425539
Jeff Green,2024,1185,54.7, 4.901325898262239
Josh Green,2024,223,7.700000000000001, 0.8816229634018239
AJ Griffin,2024,92,1.8000000000000003, 0.3421186684841431
Quentin Grimes,2024,168,7.5, 0.6909733571026112
Mouhamadou Gueye,2024,11,-0.4, 0.03133663555644084
Mouhamed Gueye,2024,6,0.2, 0.023739999908624087
Rui Hachimura,2024,278,11.2, 1.1242410736380444
Ashton Hagans,2024,21,0.0, 0.07172675724577514
Tyrese Haliburton,2024,260,27.1, 1.3132711380618096
R.J. Hampton,2024,170,0.8, 0.592279727897171
Tim Hardaway Jr.,2024,736,30.200000000000003, 2.9848173084268774
James Harden,2024,1072,166.30000000000004, 6.273578940495597
Jaden Hardy,2024,121,1.0, 0.428383879650929
Ron Harper Jr.,2024,10,0.2, 0.037376363544987724
Gary Harris,2024,570,25.8, 2.3496168789351093
Joe Harris,2024,504,23.1, 2.0820971938957396
Kevon Harris,2024,36,0.6, 0.13231193977977654
Tobias Harris,2024,897,70.10000000000001, 4.162027401483427
Shaquille Harrison,2024,183,4.2, 0.6901412168019669
Josh Hart,2024,453,27.400000000000002, 1.9759500929651739
Isaiah Hartenstein,2024,322,21.400000000000002, 1.4348709948978868
Sam Hauser,2024,185,8.9, 0.7709751466516448
Jordan Hawkins,2024,67,1.3, 0.24901738000883883
Jaxson Hayes,2024,311,16.5, 1.3202056405671783
Killian Hayes,2024,210,-0.40000000000000013, 0.7097457264655316
Gordon Hayward,2024,835,63.4, 3.8451519540961687
Scoot Henderson,2024,62,-1.7, 0.1847278309751953
Taylor Hendricks,2024,40,1.2, 0.15539712231377797
Tyler Herro,2024,284,12.6, 1.166742863187078
Buddy Hield,2024,632,25.0, 2.5483820901018954
Haywood Highsmith,2024,144,4.1, 0.5556118681978152
Nate Hinton,2024,38,0.19999999999999998, 0.13283090899953318
D'Moi Hodge,2024,7,0.0, 0.0239994845185024
Aaron Holiday,2024,386,8.100000000000001, 1.4436039941820673
Jrue Holiday,2024,975,69.39999999999999, 4.416912870345273
Justin Holiday,2024,680,18.7, 2.6128058553130624
Richaun Holmes,2024,458,28.700000000000003, 2.0134679884555102
Chet Holmgren,2024,82,8.9, 0.41983878301528127
Jalen Hood-Schifino,2024,21,-0.5, 0.06385274149774364
Al Horford,2024,1078,112.89999999999998, 5.453088604060377
Talen Horton-Tucker,2024,247,4.9, 0.9193466570310291
Danuel House Jr.,2024,294,9.999999999999998, 1.1598888903882232
Caleb Houstan,2024,110,2.2, 0.40978151744620467
